No,Section,Page,Header,Emoji,English,Sinhala
8063,Characters,Travel & Places,place-other,♨,hot | hotsprings | springs | steaming,උණු දිය උල්පත් | උණුසුම් | උල්පත් | බුබුළු දැමීම
8065,Characters,Travel & Places,place-other,🎠,carousel | horse,අශ්වයා | කැරවුසල්
8067,Characters,Travel & Places,place-other,🛝,amusement park | play | playground slide,ක්‍රීඩා පිටියේ විනිවිදකය | විනෝද උද්‍යානය | සෙල්ලම් කරන්න
8069,Characters,Travel & Places,place-other,🎡,amusement park | ferris | wheel,රෝදය | විනෝද උයන | ෆෙරිස්
8071,Characters,Travel & Places,place-other,🎢,amusement park | coaster | roller,කෝස්ටර් | රෝලර් | විනෝද උයන
8073,Characters,Travel & Places,place-other,💈,barber | haircut | pole,කොණ්ඩය කැපීම | පෝල් | බාබර්
8075,Characters,Travel & Places,place-other,🎪,circus | tent,කූඩාරම | සර්කස්
8077,Characters,Travel & Places,transport-ground,🚂,engine | locomotive | railway | steam | train,එන්ජිම | දුම්රිය | දුම්රිය මාර්ගය | වාෂ්ප | වාහනය
8079,Characters,Travel & Places,transport-ground,🚃,car | electric | railway | train | tram | trolleybus,ට්‍රෑම් | ට්‍රොලි බසය | දුම්රිය | දුම්රිය මාර්ගය | දුම්රිය මෝටර් රථය | මෝටර් රථය | වාහනය | විදුලි
8081,Characters,Travel & Places,transport-ground,🚄,high-speed train | railway | shinkansen | speed | train,අධිවේගී දුම්රිය | දුම්රිය | දුම්රිය මාර්ගය | වාහනය | වේගය | ෂින්කන්සන්
8083,Characters,Travel & Places,transport-ground,🚅,bullet | railway | shinkansen | speed | train,දුම්රිය | දුම්රිය මාර්ගය | බුලට නාසය සහිත අධිවේගී දුම්රිය | බුලට් | වාහනය | වේගය | ෂින්කන්සන්
8085,Characters,Travel & Places,transport-ground,🚆,railway | train,දුම්රිය | දුම්රිය මාර්ගය | වාහනය
8087,Characters,Travel & Places,transport-ground,🚇,metro | subway,දුම්රිය මාර්ගය | මෙට්‍රො | වාාහනය
8089,Characters,Travel & Places,transport-ground,🚈,light rail | railway,දුම්රිය මාර්ගය | වාහනය | සැහැල්ලු දුම්රිය
8091,Characters,Travel & Places,transport-ground,🚉,railway | station | train,දුම්රිය | දුම්රිය මාර්ගය | නැවතුම්පොළ | වාහනය
8093,Characters,Travel & Places,transport-ground,🚊,tram | trolleybus,ට්‍රෑම් | ට්‍රොලි බසය | වාහනය
8095,Characters,Travel & Places,transport-ground,🚝,monorail | vehicle,මොනොරේල් | වාහනය
8097,Characters,Travel & Places,transport-ground,🚞,car | mountain | railway,කන්ද | කඳු දුම්රිය | දුම්රිය මාර්ගය | මෝටර් රථය | වාහනය
8099,Characters,Travel & Places,transport-ground,🚋,car | tram | trolleybus,ට්‍රෑම් | ට්‍රෑම් කාර් | ට්‍රොලි බසය | මෝටර් රථය | වාහනය
8101,Characters,Travel & Places,transport-ground,🚌,bus | vehicle,බසය | වාහනය
8103,Characters,Travel & Places,transport-ground,🚍,bus | oncoming,ඉදිරියට එන | ඉදිරියට එන බසය | බසය | වාහනය
8105,Characters,Travel & Places,transport-ground,🚎,bus | tram | trolley | trolleybus,ට්‍රෑම් රථය | ට්‍රොලි බසය | ට්‍රොලි රථය | බසය | වාහනය
8107,Characters,Travel & Places,transport-ground,🚐,bus | minibus,බසය | මිනි බසය | වාහනය
8109,Characters,Travel & Places,transport-ground,🚑,ambulance | vehicle,ගිලන් රථය | වාහනය
8111,Characters,Travel & Places,transport-ground,🚒,engine | fire | truck,එන්ජිම | ගිනි | ගිනි නිවීමේ රථය | ට්‍රක් රථය | වාහනය
8113,Characters,Travel & Places,transport-ground,🚓,car | patrol | police,පොලිස් මෝටර් රථය | පොලීසිය | මුර සංචාර | මෝටර් රථය | වාහනය
8115,Characters,Travel & Places,transport-ground,🚔,car | oncoming | police,ඉදිරියට එන | ඉදිරියට එන පොලිස් මෝටර් රථය | පොලීසිය | මෝටර් රථය | වාහනය
8117,Characters,Travel & Places,transport-ground,🚕,taxi | vehicle,ටැක්සිය | වාහනය
8119,Characters,Travel & Places,transport-ground,🚖,oncoming | taxi,ඉදිරියට එන | ඉදිරියට එන ටැක්සිය | ටැක්සිය | වාහනය
8121,Characters,Travel & Places,transport-ground,🚗,automobile | car,මෝටර් රථය | වාහනය
8123,Characters,Travel & Places,transport-ground,🚘,automobile | car | oncoming,ඉදිරියට එන | ඉදිරියට එන මෝටර් රථය | ඔටෝමෝබයිල් | මෝටර් රථය | වාහනය
8125,Characters,Travel & Places,transport-ground,🚙,recreational | sport utility | sport utility vehicle,වාහනය | වැඩිදියුණු | වැඩිදියුණු කළ | වැඩිදියුණු කළ වාහනය
8127,Characters,Travel & Places,transport-ground,🛻,pick-up | pickup | truck,කැබ් රථය | ට්‍රක් රථය | පිකප්
8129,Characters,Travel & Places,transport-ground,🚚,delivery | truck,ට්‍රක් රථය | බෙදා හැරීම | බෙදා හැරීමේ ට්‍රක් රථය | වාහනය
8131,Characters,Travel & Places,transport-ground,🚛,articulated lorry | lorry | semi | truck,කුඩා | ට්‍රක් රථය | ට්‍රැක්ටර් ට්‍රේලර් ලොරිය | ලොරිය | වාහනය
8133,Characters,Travel & Places,transport-ground,🚜,tractor | vehicle,ට්‍රැක්ටරය | වාහනය
8135,Characters,Travel & Places,transport-ground,🏎,car | racing,මෝටර් රථය | රේසිං | රේසිං මෝටර් රථය
8137,Characters,Travel & Places,transport-ground,🏍,motorcycle | racing,මෝටර් බයිසිකලය | රේසිං
8139,Characters,Travel & Places,transport-ground,🛵,motor | scooter,මෝටර් | ස්කූටරය
8141,Characters,Travel & Places,transport-ground,🦽,accessibility | manual wheelchair,අතින් කරකවන රෝද පුටුව | ළඟාවිය හැකි බව
8143,Characters,Travel & Places,transport-ground,🦼,accessibility | motorized wheelchair,මෝටර් රෝද පුටුව | ළඟාවිය හැකි බව
8145,Characters,Travel & Places,transport-ground,🛺,auto rickshaw | tuk tuk,ත්‍රීවිලය | ස්වයං රික්ෂෝරථය
8147,Characters,Travel & Places,transport-ground,🚲,bicycle | bike,බයිසිකලය | වාහනය
8149,Characters,Travel & Places,transport-ground,🛴,kick | scooter,පෙඩල ස්කූටරය | පෙඩලය | ස්කූටරය
8151,Characters,Travel & Places,transport-ground,🛹,board | skateboard,බෝඩ් | ස්කේට්බෝඩ්
8153,Characters,Travel & Places,transport-ground,🛼,roller | skate,රෝද | ලිස්සා යෑම | සපත්තු
8155,Characters,Travel & Places,transport-ground,🚏,bus | stop,නැවතුම | බසය | බස් නැවතුම
8157,Characters,Travel & Places,transport-ground,🛣,highway | motorway | road,අධිවේගී | මාර්ගය | මෝටර් රථ මාර්ගය
8159,Characters,Travel & Places,transport-ground,🛤,railway | railway track | train,දුම්රිය | දුම්රිය මාර්ගය
8161,Characters,Travel & Places,transport-ground,🛢,drum | oil,තෙල් | බැරලය
8163,Characters,Travel & Places,transport-ground,⛽,diesel | fuel | fuelpump | gas | pump | station,ඉන්ධන | ගෑස් | පොම්පය | ස්ථානය
8165,Characters,Travel & Places,transport-ground,🛞,circle | tire | turn | wheel,කවය | ටයර් | රෝදය | හැරෙන්න
8167,Characters,Travel & Places,transport-ground,🚨,beacon | car | light | police | revolving,ආලෝකය | කරකැවීම | පොලිසීය | පොලිස් මෝටර් රථයේ ආලෝක ලාම්පු | බීකන | මෝටර් රථය | වාහනය
8169,Characters,Travel & Places,transport-ground,🚥,horizontal traffic light | light | signal | traffic,ආලෝකය | මාර්ග තදබදය | සංඥා | සිරස් මාර්ග තදබද ලාම්පුව
8171,Characters,Travel & Places,transport-ground,🚦,light | signal | traffic | vertical traffic light,ආලෝකය | තිරස් මාර්ග තදබද ලාම්පුව | මාර්ග තදබදය | සංඥා
8173,Characters,Travel & Places,transport-ground,🛑,octagonal | sign | stop,අට පට්ටම | නැවතුම් | ලකුණ
8175,Characters,Travel & Places,transport-ground,🚧,barrier | construction,ඉදිකිරීම | බාධකය
8177,Characters,Travel & Places,transport-water,⚓,anchor | ship | tool,නැංගුරම | නැව | මෙවලම
8179,Characters,Travel & Places,transport-water,🛟,float | life preserver | life saver | rescue | ring buoy | safety,ආරක්ෂාව | ගලවා ගැනීම | ජීවිත ආරක්ෂාව | ජීවිතාරක්ෂකයා | පාවෙන | මුදු බෝයාව
8181,Characters,Travel & Places,transport-water,⛵,boat | resort | sailboat | sea | yacht,නාවික බෝට්ටුව | නැව | මුහුද | යාත්‍රාව | ලැගුම් හල | වාහනය
8183,Characters,Travel & Places,transport-water,🛶,boat | canoe,ඔරුව | බෝට්ටුව
8185,Characters,Travel & Places,transport-water,🚤,boat | speedboat,බෝට්ටුුව | වාහනය | වේග බෝට්ටුව
8187,Characters,Travel & Places,transport-water,🛳,passenger | ship,නැව | මගියා | මගී නැව | වාහනය
8189,Characters,Travel & Places,transport-water,⛴,boat | ferry | passenger,පහුර | බෝට්ටුව
8191,Characters,Travel & Places,transport-water,🛥,boat | motor boat | motorboat,බෝට්ටුව | මෝටර් බෝට්ටුව | වාහනය
8193,Characters,Travel & Places,transport-water,🚢,boat | passenger | ship,නැව | වාහනය
8195,Characters,Travel & Places,transport-air,✈,aeroplane | airplane,ගුවන් යානය | වාහනය
8197,Characters,Travel & Places,transport-air,🛩,aeroplane | airplane | small airplane,කුඩා ගුවන් යානය | ගුවන් යානය | වාහනය
8199,Characters,Travel & Places,transport-air,🛫,aeroplane | airplane | check-in | departure | departures,ඇතුළු වීම | ගුවන් යානය පිටත්වීම | ගුවන් යාානය | පිටවීම | පිටවීම් | වාහනය
8201,Characters,Travel & Places,transport-air,🛬,aeroplane | airplane | airplane arrival | arrivals | arriving | landing,ගුවන් යානය පැමිණීම | ගුවන් යාානය | ගොඩබෑම් | පැමිණීම | වාහනය
8203,Characters,Travel & Places,transport-air,🪂,hang-glide | parachute | parasail | skydive,අහසේ කිමිදීම | එල්ලී-ලිස්සිම | පැරෂූටය | පැරසේලය
8205,Characters,Travel & Places,transport-air,💺,chair | seat,ආසනය | පුටුව
8207,Characters,Travel & Places,transport-air,🚁,helicopter | vehicle,වාහනය | හෙලිකොප්ටරය
8209,Characters,Travel & Places,transport-air,🚟,railway | suspension,එල්ලෙන | එල්ලෙන දුම්රිය | දුම්රිය මාර්ගය | වාහනය
8211,Characters,Travel & Places,transport-air,🚠,cable | gondola | mountain | mountain cableway,කන්ද | කඳු කේබල් මාර්ගය | කේබල් | ගොන්ඩෝලා | වාහනය
8213,Characters,Travel & Places,transport-air,🚡,aerial | cable | car | gondola | tramway,කේබල් | ගුවන් | ගුවන් ට්‍රෑම් මාර්ගය | ගොන්ඩෝලා | ට්‍රෑම් මාර්ගය | බැමි මාර්ගය | වාහනය
8215,Characters,Travel & Places,transport-air,🛰,satellite | space,අභ්‍යවකාශය | චන්ද්‍රිකාව | වාහනය
8217,Characters,Travel & Places,transport-air,🚀,rocket | space,අභ්‍යවකාශය | රොකට්ටුව | වාහනය
8219,Characters,Travel & Places,transport-air,🛸,flying saucer | UFO,UFO | පියාඹන පීරිසි
8221,Characters,Travel & Places,hotel,🛎,bell | bellhop | hotel,බෙල්හොප් | සීනුව | හෝටලය
8223,Characters,Travel & Places,hotel,🧳,luggage | packing | travel,ඇසුරුම | ගමන් කරනවා | ගමන් මලු
8225,Characters,Travel & Places,time,⌛,hourglass done | sand | timer,කාල ගණකය | පෑතැටිය | වැලි
8227,Characters,Travel & Places,time,⏳,hourglass | hourglass not done | sand | timer,කාල ගණකය | වාලුකා යන්ත්‍රය | වැලි
8229,Characters,Travel & Places,time,⌚,clock | watch,ඔරලෝසුව
8231,Characters,Travel & Places,time,⏰,alarm | clock,එලාමය | එලාම් ඔරලෝසුව | ඔරලෝසුව
8233,Characters,Travel & Places,time,⏱,clock | stopwatch,ඔරලෝසුුව | විරාම ඝටිකාව
8235,Characters,Travel & Places,time,⏲,clock | timer,ඔරලෝසුව | කාල ගණක ඔරලෝසුව | කාල ගණකය
8237,Characters,Travel & Places,time,🕰,clock | mantelpiece clock,ඔරලෝසුව | මැන්ටල්පීස් ඔරලෝසුව
8239,Characters,Travel & Places,time,🕛,00 | 12 | 12:00 | clock | o’clock | twelve,00 | 12 | 12:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | දොළහ
8241,Characters,Travel & Places,time,🕧,12 | 12:30 | clock | thirty | twelve | twelve-thirty,12 | 12:30 | 30 | ඔරලෝසුව | තිහ | දොළහ | දොළහමාර
8243,Characters,Travel & Places,time,🕐,00 | 1 | 1:00 | clock | o’clock | one,00 | 1 | 1:00 | එක | ඔරලෝසු වේලාව | ඔරලෝසුව
8245,Characters,Travel & Places,time,🕜,1 | 1:30 | clock | one | one-thirty | thirty,1 | 1:30 | 30 | එකයි | එකහමාර | ඔරලෝසුව | තිහ
8247,Characters,Travel & Places,time,🕑,00 | 2 | 2:00 | clock | o’clock | two,00 | 2 | 2:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | දෙක
8249,Characters,Travel & Places,time,🕝,2 | 2:30 | clock | thirty | two | two-thirty,2 | 2:30 | 30 | ඔරලෝසුව | තිහ | දෙක | දෙකහමාර
8251,Characters,Travel & Places,time,🕒,00 | 3 | 3:00 | clock | o’clock | three,00 | 3 | 3:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | තුන
8253,Characters,Travel & Places,time,🕞,3 | 3:30 | clock | thirty | three | three-thirty,3 | 3:30 | 30 | ඔරලෝසුව | තිහ | තුන | තුනහමාර
8255,Characters,Travel & Places,time,🕓,00 | 4 | 4:00 | clock | four | o’clock,00 | 4 | 4:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | හතර
8257,Characters,Travel & Places,time,🕟,4 | 4:30 | clock | four | four-thirty | thirty,30 | 4 | 4:30 | ඔරලෝසුව | තිහ | හතර | හතරහමාර
8259,Characters,Travel & Places,time,🕔,00 | 5 | 5:00 | clock | five | o’clock,00 | 5 | 5:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | පහ
8261,Characters,Travel & Places,time,🕠,5 | 5:30 | clock | five | five-thirty | thirty,30 | 5 | 5:30 | ඔරලෝසුව | තිහ | පහ | පහමාර
8263,Characters,Travel & Places,time,🕕,00 | 6 | 6:00 | clock | o’clock | six,00 | 6 | 6:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | හය
8265,Characters,Travel & Places,time,🕡,6 | 6:30 | clock | six | six-thirty | thirty,30 | 6 | 6:30 | ඔරලෝසුව | තිහ | හය | හයාමාර
8267,Characters,Travel & Places,time,🕖,00 | 7 | 7:00 | clock | o’clock | seven,00 | 7 | 7:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | හත
8269,Characters,Travel & Places,time,🕢,7 | 7:30 | clock | seven | seven-thirty | thirty,30 | 7 | 7:30 | ඔරලෝසුව | තිහ | හත | හතහමාර
8271,Characters,Travel & Places,time,🕗,00 | 8 | 8:00 | clock | eight | o’clock,00 | 8 | 8:00 | අට | ඔරලෝසු වේලාව | ඔරලෝසුව
8273,Characters,Travel & Places,time,🕣,8 | 8:30 | clock | eight | eight-thirty | thirty,30 | 8 | 8:30 | අට | අටහමාර | ඔරලෝසුව | තිහ
8275,Characters,Travel & Places,time,🕘,00 | 9 | 9:00 | clock | nine | o’clock,00 | 9 | 9:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | නවය
8277,Characters,Travel & Places,time,🕤,9 | 9:30 | clock | nine | nine-thirty | thirty,30 | 9 | 9:30 | ඔරලෝසුව | තිහ | නවය | නවයහමාර
8279,Characters,Travel & Places,time,🕙,00 | 10 | 10:00 | clock | o’clock | ten,00 | 10 | 10:00 | ඔරලෝසු වේලාව | ඔරලෝසුව | දහය
8281,Characters,Travel & Places,time,🕥,10 | 10:30 | clock | ten | ten-thirty | thirty,10 | 10:30 | 30 | ඔරලෝසුව | තිහ | දහය | දහයහමාර
8283,Characters,Travel & Places,time,🕚,00 | 11 | 11:00 | clock | eleven | o’clock,00 | 11 | 11:00 | එකොළහ | ඔරලෝසු වේලාව | ඔරලෝසුව
8285,Characters,Travel & Places,time,🕦,11 | 11:30 | clock | eleven | eleven-thirty | thirty,11 | 11:30 | 30 | එකොළහ | එකොළහමාර | ඔරලෝසුව | තිහ
8287,Characters,Travel & Places,sky & weather,🌑,dark | moon | new moon,අඳුරු | අභ්‍යවකාශය | කාලගුණය | නව සඳ | සඳ
8289,Characters,Travel & Places,sky & weather,🌒,crescent | moon | waxing,අඩසඳ | අභ්‍යවකාශය | කාලගුණය | පුර | පුරපක්ෂයේ අඩසඳ | සඳ
8291,Characters,Travel & Places,sky & weather,🌓,first quarter moon | moon | quarter,අභ්‍යවකාශය | කාලගුණය | චතුර්ථක | පළමු චතුර්ථක සඳ | සඳ
8293,Characters,Travel & Places,sky & weather,🌔,gibbous | moon | waxing,අටවක | අභ්‍යවකාශය | කාලගුණය | පුර | පුරපක්ෂයේ අටවක සඳ | සඳ
8295,Characters,Travel & Places,sky & weather,🌕,full | moon,අභ්‍යවකාශය | කාලගුණය | පුරසඳ | පූර්ණ | සඳ
8297,Characters,Travel & Places,sky & weather,🌖,gibbous | moon | waning,අටවක | අභ්‍යවකාශය | අවපක්ෂයේ අටවක සඳ | අවපස | කාලගුණය | සඳ
8299,Characters,Travel & Places,sky & weather,🌗,last quarter moon | moon | quarter,අභ්‍යවකාශය | අවසන් චතුර්ථක සඳ | කාලගුණය | චතුර්ථක | සඳ
8301,Characters,Travel & Places,sky & weather,🌘,crescent | moon | waning,අඩසඳ | අභ්‍යවකාශය | අවපක්ෂයේ අඩසඳ | අවපස | කාලගුණය | සඳ
8303,Characters,Travel & Places,sky & weather,🌙,crescent | moon,අඩසඳ | අභ්‍යවකාශය | කාලගුණය | සඳ
8305,Characters,Travel & Places,sky & weather,🌚,face | moon | new moon face,අභ්‍යවකාශය | කාලගුණය | නව සඳ මුහුණ | මුහුණ | සඳ
8307,Characters,Travel & Places,sky & weather,🌛,face | first quarter moon face | moon | quarter,අභ්‍යවකාශය | කාලගුණය | චතුර්ථකය | මුහුණ | මුහුණ සහිත පළමු චතුර්ථක සඳ | සඳ
8309,Characters,Travel & Places,sky & weather,🌜,face | last quarter moon face | moon | quarter,අභ්‍යවකාශය | කාලගුණය | චතුර්ථකය | මුහුණ | මුහුණ සහිත අවසන් චතුර්ථක සඳ | සඳ
8311,Characters,Travel & Places,sky & weather,🌡,thermometer | weather,උෂ්ණත්ව මානය | කාලගුණය
8313,Characters,Travel & Places,sky & weather,☀,bright | rays | sun | sunny,අභ්‍යවකාශය | කාලගුණය | කිරණ | දීප්තිමත් | සූර්යයා | හිරු සහිත
8315,Characters,Travel & Places,sky & weather,🌝,bright | face | full | moon,අභ්‍යවකාශය | කාලගුණය | දීප්තිමත් | පූර්ණ | මුහුණ | මුහුණ සහිත පුරසඳ | සඳ
8317,Characters,Travel & Places,sky & weather,🌞,bright | face | sun | sun with face,අභ්‍යවකාශය | කාලගුණය | දීප්තිමත් | මුහුණ | මුහුණ සහිත සූර්යයා
8319,Characters,Travel & Places,sky & weather,🪐,ringed planet | saturn | saturnine,නරච්ඡාගයා | වටකුරු ග්‍රහයා | සෙනසුරු
8321,Characters,Travel & Places,sky & weather,⭐,star,තරුව | සුදු මධ්‍යම තරුව
8323,Characters,Travel & Places,sky & weather,🌟,glittery | glow | glowing star | shining | sparkle | star,තරුව | දිදුලන | දිලෙන තරුව | දිළිසීම | දිළිසෙන | බැබළීම
8325,Characters,Travel & Places,sky & weather,🌠,falling | shooting | star,අභ්‍යවකාශය | කඩා වැටීම | කඩා වැටෙන තරුව | තරුව | වැටීම
8327,Characters,Travel & Places,sky & weather,🌌,milky way | space,අභ්‍යවකාශය | කාලගුණය | ක්ෂීර පථය
8329,Characters,Travel & Places,sky & weather,☁,cloud | weather,කාලගුණය | වලාකුළ
8331,Characters,Travel & Places,sky & weather,⛅,cloud | sun | sun behind cloud,කාලගුණය | වලාකුළ | වළාකුළෙන් වැසුණ සඳ | සූර්යයා
8333,Characters,Travel & Places,sky & weather,⛈,cloud | cloud with lightning and rain | rain | thunder,කාලගුණය | ගෙරවීම | වලාකුළ | වැස්ස | විදුලි කෙටීම් සහ වැස්ස සහිත වලාකුළ
8335,Characters,Travel & Places,sky & weather,🌤,cloud | sun | sun behind small cloud,කාලගුණය | කුඩා වලාකුළකට පිටුපසින් සඳ | වලාකුළ | සූර්යයා
8337,Characters,Travel & Places,sky & weather,🌥,cloud | sun | sun behind large cloud,කාලගුණය | වලාකුළ | විශාල වලාකුළකට පිටුපසින් සඳ | සූර්යයා
8339,Characters,Travel & Places,sky & weather,🌦,cloud | rain | sun | sun behind rain cloud,කාලගුණය | වලාකුළ | වැසි වලාකුළකට පිටුපසින් සඳ | වැස්ස | සූර්යයා
8341,Characters,Travel & Places,sky & weather,🌧,cloud | cloud with rain | rain,කාලගුණය | වලාකුළ | වැස්ස | වැස්ස සහිත වලාකුළ
8343,Characters,Travel & Places,sky & weather,🌨,cloud | cloud with snow | cold | snow,කාලගුණය | වලාකුළ | ශීතල | හිම | හිම සහිත වලාකුළ
8345,Characters,Travel & Places,sky & weather,🌩,cloud | cloud with lightning | lightning,කාලගුණය | වලාකුළ | විදුලි කෙටීම | විදුලි කෙටීම සහිත වලාකුළ
8347,Characters,Travel & Places,sky & weather,🌪,cloud | tornado | whirlwind,කාලගුණය | ටොනාඩෝ | වලාකුළ | සුළි කුණාටුව
8349,Characters,Travel & Places,sky & weather,🌫,cloud | fog,කාලගුණය | මීදුම | වලාකුළ
8351,Characters,Travel & Places,sky & weather,🌬,blow | cloud | face | wind,කාලගුණය | පිඹීම | මුහුණ | වලාකුළ | සුළං මුහුණත | සුළඟ
8353,Characters,Travel & Places,sky & weather,🌀,cyclone | dizzy | hurricane | twister | typhoon,කරකැවෙන | කාලගුණය | කැරකීම | ටයිෆූනය | සයික්ලෝනය
8355,Characters,Travel & Places,sky & weather,🌈,rain | rainbow,කාලගුණය | දේදුන්න | වැස්ස
8357,Characters,Travel & Places,sky & weather,🌂,closed umbrella | clothing | rain | umbrella,අකුළන ලද කුඩය | කාලගුණය | කුඩය | රෙදිපිළි | වැස්ස
8359,Characters,Travel & Places,sky & weather,☂,clothing | rain | umbrella,කාලගුණය | කුඩය | රෙදිපිළි | වැස්ස
8361,Characters,Travel & Places,sky & weather,☔,clothing | drop | rain | umbrella | umbrella with rain drops,කාලගුණය | කුඩය | දිය බිංදුව | රෙදිපිළි | වැස්ස | වැහි බිංදු සහිත කුඩය
8363,Characters,Travel & Places,sky & weather,⛱,rain | sun | umbrella | umbrella on ground,කාලගුණය | කුඩය | බිම තිබෙන කුඩය | වැස්ස | සූර්යයා
8365,Characters,Travel & Places,sky & weather,⚡,danger | electric | high voltage | lightning | voltage | zap,අධි වෝලටීයතාව | අනතුරුදායක | විදුලි | විදුලි කෙටීම | විදුලිය | වෝල්ටීයතාව | සැප්
8367,Characters,Travel & Places,sky & weather,❄,cold | snow | snowflake,කාලගුණය | ශීතල | හිම | හිම පතුරු
8369,Characters,Travel & Places,sky & weather,☃,cold | snow | snowman,කාලගුණය | ශීතල | හිම | හිම මිනිසා
8371,Characters,Travel & Places,sky & weather,⛄,cold | snow | snowman | snowman without snow,කාලගුණය | ශීතල | හිම | හිම මිනිසා | හිම රහිත හිම මිනිසා
8373,Characters,Travel & Places,sky & weather,☄,comet | space,අභ්‍යවකාශය | වල්ග තරුව
8375,Characters,Travel & Places,sky & weather,🔥,fire | flame | tool,ගිනි දැල්ල | ගින්න | මෙවලම
8377,Characters,Travel & Places,sky & weather,💧,cold | comic | drop | droplet | sweat,කාලගුණය | ජල බිංදුව | දහඩිය | බිංදුව | බිඳුව | ශීතල
8379,Characters,Travel & Places,sky & weather,🌊,ocean | water | wave,කාලගුණය | ජලය | දිය රැල්ල | මුහුද | රළ
8381,Characters,Activities,event,🎃,celebration | halloween | jack | jack-o-lantern | lantern,ජැකෝ ලැන්ටර්න් | ජැක් | ලාම්පුව | සැමරුම | හැලොවීන්
8383,Characters,Activities,event,🎄,celebration | Christmas | tree,ගස | නත්තල් | සැමරුම
8385,Characters,Activities,event,🎆,celebration | fireworks,ගිනිකෙළි | සැමරුම
8387,Characters,Activities,event,🎇,celebration | fireworks | sparkle | sparkler,ගිනිකෙළි | දිලිසීම | දිළිසීම | සැමරුම
8389,Characters,Activities,event,🧨,dynamite | explosive | firecracker | fireworks,ඩයිනමයිට් | පුපුරන සුළුයි | මල්වෙඩි | රතිඤ්ඤා
8391,Characters,Activities,event,✨,* | sparkle | sparkles | star,තරුව | දියමන්ති | දිළිසීම
8393,Characters,Activities,event,🎈,balloon | celebration,බැලූනය | සැමරුම
8395,Characters,Activities,event,🎉,celebration | party | popper | tada,උත්සවය | ටාඩා | පාටි පොපර් | පොපර් | සැමරුම
8397,Characters,Activities,event,🎊,ball | celebration | confetti,කොන්ෆෙටි | බෝල් | සැමරුම
8399,Characters,Activities,event,🎋,banner | celebration | Japanese | tanabata tree | tree,ගස | ජපන් | තනබතා ගස | බැනරය | සැමරුම
8401,Characters,Activities,event,🎍,bamboo | celebration | Japanese | pine | pine decoration,උණු බට | ජපන් | පයින් | පයින් සැරසිල්ල | සැමරුම
8403,Characters,Activities,event,🎎,celebration | doll | festival | Japanese | Japanese dolls,ජපන් | ජපන් බෝනික්කන් | බොනික්කා | සැණකෙලිය | සැමරුම
8405,Characters,Activities,event,🎏,carp | celebration | streamer,කාප් | සැමරුම | ස්ට්‍රීමර්
8407,Characters,Activities,event,🎐,bell | celebration | chime | wind,ඝාණ්ටාව | දුම් නලය | නාදය | සැමරුම | සුළඟ
8409,Characters,Activities,event,🎑,celebration | ceremony | moon | moon viewing ceremony,උත්සවය | සඳ | සැමරුම
8411,Characters,Activities,event,🧧,gift | good luck | hóngbāo | lai see | money | red envelope,තෑග්ග | මුදල | රතු ලියුම් කවරය | ලයි සි | හොඳ වාසනාව
8413,Characters,Activities,event,🎀,celebration | ribbon,පීත්ත පටිය | සැමරුම
8415,Characters,Activities,event,🎁,box | celebration | gift | present | wrapped,ඔතන ලද | ඔතන ලද තෑග්ග | තෑග්ග | ත්‍යාගය | පෙට්ටිය
8417,Characters,Activities,event,🎗,celebration | reminder | ribbon,උත්සවය | පීත්ත පටිය | මතක් කිරීමේ | මතක් කිරීමේ පීත්ත පටිය | සිහිකැඳවීම
8419,Characters,Activities,event,🎟,admission | admission tickets | ticket,අැතුළත් වීම | ඇතුළත් වීමේ ටිකට් පත් | ටිකට් පත
8421,Characters,Activities,event,🎫,admission | ticket,ඇතුළත් වීම | ටිකට් පත
8423,Characters,Activities,award-medal,🎖,celebration | medal | military,පදක්කම | සැමරුම | හමුදා
8425,Characters,Activities,award-medal,🏆,prize | trophy,කුසලානය | ත්‍යාගය
8427,Characters,Activities,award-medal,🏅,medal | sports medal,ක්‍රීඩා පදක්කම | පදක්කම
8429,Characters,Activities,award-medal,🥇,1st place medal | first | gold | medal,1වන ස්ථාන පදක්කම | පදක්කම | පළ වැනියා | රත්‍රන්
8431,Characters,Activities,award-medal,🥈,2nd place medal | medal | second | silver,1වන ස්ථාන පදක්කම් | දෙවැනියා | පදක්කම | රිදී
8433,Characters,Activities,award-medal,🥉,3rd place medal | bronze | medal | third,3වන ස්ථාන පදක්කම් | තුන් වැනියා | පදක්කම | ලෝකඩ
8435,Characters,Activities,sport,⚽,ball | football | soccer,බෝලය | සොකර් | සොකර් බෝල්
8437,Characters,Activities,sport,⚾,ball | baseball,බේස්බෝල් | බෝලය
8439,Characters,Activities,sport,🥎,ball | glove | softball | underarm,අත යටින් | අත්වැසුම | බෝලය | සැහැල්ලු පන්දු
8441,Characters,Activities,sport,🏀,ball | basketball | hoop,පැසිපන්දු | බෝලය | වළල්ල
